iter	RMSE
0	86504.55696
1	83404.22607
2	80455.45146
3	77726.6483
4	75109.72321
5	72665.80353
6	70325.22898
7	68146.47719
8	66078.82745
9	64169.51483
10	62324.58608
11	60640.61454
12	58964.17827
13	57454.62313
14	55996.10917
15	54629.23744
16	53350.50965
17	52182.05448
18	51039.32564
19	49952.62292
20	48974.51988
21	48014.06028
22	47119.298
23	46286.33968
24	45473.44239
25	44723.72558
26	44015.72057
27	43367.59222
28	42754.35247
29	42186.68524
30	41599.45697
31	41068.87453
32	40592.47105
33	40121.317
34	39665.12543
35	39216.52317
36	38842.47469
37	38451.51756
38	38110.72112
39	37790.7489
40	37461.07874
41	37155.99763
42	36870.42266
43	36586.37367
44	36328.25795
45	36095.80814
46	35860.78002
47	35634.75495
48	35429.87431
49	35254.50492
50	35088.32096
51	34934.29759
52	34750.06929
53	34548.42878
54	34367.71222
55	34205.69452
56	34064.40366
57	33913.4063
58	33766.4907
59	33621.01664
60	33488.76363
61	33387.82544
62	33249.37703
63	33146.26108
64	33019.93731
65	32909.51074
66	32777.47981
67	32666.81132
68	32537.99468
69	32425.39631
70	32318.55733
71	32260.94631
72	32147.57748
73	32054.55437
74	31961.63693
75	31831.89051
76	31747.97022
77	31679.03025
78	31597.01092
79	31568.27138
80	31539.08233
81	31455.1626
82	31380.52582
83	31316.13169
84	31240.80824
85	31173.02612
86	31103.22145
87	31070.86082
88	30996.72212
89	30934.64388
90	30872.93843
91	30837.23628
92	30763.73152
93	30757.56765
94	30716.97917
95	30650.14235
96	30625.46968
97	30565.11332
98	30500.13883
99	30447.83231
100	30394.15729
101	30327.26725
102	30265.32534
103	30257.57141
104	30211.20449
105	30152.91691
106	30094.06442
107	30087.55161
108	30027.43047
109	29985.33046
110	29953.96194
111	29881.08416
112	29837.56765
113	29821.53253
114	29742.4455
115	29701.69302
116	29652.10833
117	29609.36546
118	29604.05014
119	29552.81978
120	29496.03866
121	29460.60359
122	29406.70495
123	29372.76469
124	29340.16615
125	29302.1852
126	29246.56623
127	29175.25115
128	29147.97491
129	29110.44299
130	29049.81127
131	29035.31998
132	29013.19277
133	28974.85909
134	28956.59766
135	28925.11526
136	28898.72367
137	28861.20709
138	28827.16632
139	28784.69988
140	28742.10276
141	28709.754
142	28689.50821
143	28662.63588
144	28641.43294
145	28599.21549
146	28556.99661
147	28508.66384
148	28474.80294
149	28448.94591
150	28429.88842
151	28406.09877
152	28369.81151
153	28343.8833
154	28316.88471
155	28271.0469
156	28231.90538
157	28213.02677
158	28173.0424
159	28147.30054
160	28115.06126
161	28094.05805
162	28065.36935
163	28041.74958
164	28023.26203
165	27997.1751
166	27977.48861
167	27944.36904
168	27914.75046
169	27889.4642
170	27854.85904
171	27824.94974
172	27787.08483
173	27781.76981
174	27756.42018
175	27744.29662
176	27721.24993
177	27692.65881
178	27688.09153
179	27676.402
180	27657.6437
181	27634.86139
182	27627.11301
183	27614.22838
184	27596.45457
185	27566.70046
186	27526.40437
187	27503.40718
188	27478.78611
189	27448.76606
190	27415.2701
191	27395.48256
192	27374.40925
193	27347.76796
194	27323.47239
195	27299.97194
196	27268.21289
197	27228.44807
198	27177.04923
199	27160.13751
200	27138.50631
201	27106.21879
202	27063.91224
203	27016.87896
204	26991.98816
205	26910.09357
206	26899.31457
207	26876.52401
208	26847.08933
209	26808.38973
210	26776.4644
211	26761.63206
212	26721.99931
213	26698.22635
214	26687.36951
215	26627.5668
216	26595.4611
217	26579.97839
218	26563.3765
219	26537.85994
220	26509.94615
221	26486.41238
222	26464.71419
223	26440.07169
224	26434.30526
225	26407.32615
226	26380.69458
227	26360.03718
228	26343.65952
229	26323.49938
230	26304.75708
231	26294.55862
232	26284.13381
233	26145.19953
234	26128.28827
235	26112.81196
236	26099.93138
237	26084.87792
238	26061.64587
239	26049.79515
240	26037.43105
241	26030.70735
242	26004.6078
243	25985.50775
244	25969.77398
245	25947.24068
246	25932.3571
247	25783.19553
248	25748.90501
249	25728.56185
250	25714.19113
251	25690.20025
252	25665.50712
253	25657.72083
254	25637.95076
255	25633.18763
256	25610.8133
257	25593.85279
258	25580.9044
259	25568.43336
260	25549.66458
261	25530.30853
262	25517.53174
263	25513.07363
264	25504.75728
265	25496.03149
266	25482.3349
267	25470.45096
268	25445.92227
269	25435.67578
270	25427.25595
271	25401.11408
272	25389.08166
273	25374.85324
274	25367.83132
275	25347.4547
276	25333.67499
277	25324.42879
278	25313.74474
279	25287.75059
280	25267.8149
281	25262.95081
282	25244.20613
283	25228.07363
284	25209.10273
285	25190.97404
286	25179.74786
287	25174.90834
288	25159.28203
289	25123.6027
290	25111.80572
291	25091.8902
292	25077.7466
293	25061.35828
294	25048.18832
295	25040.90151
296	25024.83662
297	25011.24608
298	25002.72796
299	24986.28722
300	24972.02987
301	24954.65717
302	24941.85219
303	24931.56991
304	24918.06336
305	24892.61189
306	24887.40789
307	24877.147
308	24868.30988
309	24855.73633
310	24845.70955
311	24821.76137
312	24800.45021
313	24788.03656
314	24778.20303
315	24758.17313
316	24736.07471
317	24722.62628
318	24711.62965
319	24701.21486
320	24691.06297
321	24676.80773
322	24674.76285
323	24663.67038
324	24649.34577
325	24631.54998
326	24620.42056
327	24614.71458
328	24612.51373
329	24601.9906
330	24592.37155
331	24585.83871
332	24575.41689
333	24566.56989
334	24562.64849
335	24556.78821
336	24546.5012
337	24532.48695
338	24513.73151
339	24502.49764
340	24487.356
341	24476.86697
342	24473.71575
343	24469.62244
344	24449.77532
345	24442.29396
346	24435.81886
347	24428.87839
348	24408.72705
349	24396.83132
350	24390.34519
351	24364.52886
352	24346.13752
353	24339.03004
354	24330.80046
355	24318.86693
356	24310.01408
357	24302.99245
358	24294.47355
359	24283.18806
360	24268.20738
361	24260.18188
362	24255.40094
363	24242.8803
364	24184.63067
365	24173.77239
366	24166.41682
367	24148.70005
368	24130.90784
369	24123.65375
370	24113.1307
371	24105.61195
372	24093.28402
373	24079.41222
374	24067.79563
375	24059.32775
376	24039.0631
377	24026.30598
378	24015.63113
379	24006.14353
380	24000.66261
381	23994.15073
382	23975.67445
383	23970.29632
384	23961.54693
385	23953.36419
386	23937.36202
387	23929.31199
388	23919.36865
389	23839.46393
390	23830.65365
391	23821.12485
392	23812.53745
393	23800.05938
394	23796.86902
395	23790.09928
396	23787.11433
397	23784.31368
398	23763.26199
399	23755.45788
400	23745.92786
401	23731.00985
402	23663.54556
403	23652.24519
404	23633.47331
405	23614.73002
406	23610.11652
407	23603.88001
408	23589.95623
409	23586.80137
410	23575.13853
411	23568.31748
412	23551.29012
413	23541.61021
414	23536.28058
415	23531.63561
416	23527.86576
417	23526.28869
418	23522.27598
419	23511.53324
420	23499.87654
421	23488.78172
422	23480.76767
423	23477.91324
424	23460.4913
425	23457.34034
426	23451.08164
427	23437.95806
428	23433.12205
429	23431.69618
430	23426.69262
431	23409.49222
432	23399.50018
433	23392.8506
434	23386.70982
435	23381.44843
436	23367.94616
437	23358.62864
438	23348.3008
439	23313.63113
440	23306.23211
441	23295.65102
442	23282.09234
443	23277.29593
444	23267.02429
445	23247.5911
446	23242.04586
447	23228.68005
448	23220.31809
449	23166.30218
450	23158.55965
451	23152.3719
452	23141.63426
453	23137.67856
454	23131.56725
455	23122.09744
456	23107.05907
457	23092.95496
458	23082.06578
459	23075.99584
460	23068.54897
461	23061.96137
462	23044.57797
463	23030.71971
464	23024.4796
465	23018.13051
466	23015.42327
467	23005.77835
468	22989.51146
469	22983.37484
470	22978.45151
471	22973.91504
472	22970.42433
473	22963.65244
474	22957.87328
475	22866.17517
476	22858.93924
477	22853.59058
478	22848.24952
479	22838.42499
480	22834.13062
481	22829.24969
482	22817.95764
483	22810.77141
484	22801.47102
485	22789.43766
486	22782.84385
487	22779.17546
488	22775.87037
489	22768.96529
490	22755.09683
491	22746.65169
492	22741.32779
493	22736.40197
494	22734.89277
495	22733.70159
496	22728.27907
497	22716.84879
498	22704.47542
499	22695.96291
