iter	Passed	Remaining
0	402	200838
1	656	163486
2	913	151292
3	1155	143282
4	1400	138674
5	1669	137461
6	1904	134134
7	2162	132986
8	2399	130906
9	2652	129955
10	2910	129393
11	3137	127605
12	3390	127007
13	3633	126149
14	3879	125427
15	4131	124979
16	4382	124520
17	4632	124047
18	4876	123446
19	5124	122979
20	5371	122526
21	5628	122293
22	5868	121701
23	6121	121409
24	6367	120975
25	6617	120649
26	6867	120302
27	7122	120062
28	7385	119948
29	7643	119746
30	7894	119439
31	8139	119045
32	8403	118916
33	8650	118567
34	8883	118018
35	9130	117682
36	9391	117515
37	9666	117525
38	9936	117453
39	10193	117224
40	10441	116896
41	10698	116660
42	10966	116550
43	11234	116427
44	11488	116166
45	11754	116013
46	12021	115863
47	12270	115551
48	12508	115131
49	12771	114946
50	13025	114674
51	13279	114407
52	13536	114165
53	13789	113889
54	14041	113606
55	14293	113329
56	14557	113137
57	14818	112925
58	15081	112727
59	15344	112528
60	15603	112292
61	15863	112070
62	16123	111840
63	16380	111594
64	16640	111363
65	16888	111052
66	17136	110744
67	17392	110496
68	17612	110017
69	17857	109697
70	18102	109380
71	18357	109127
72	18604	108823
73	18845	108490
74	19093	108195
75	19335	107873
76	19561	107462
77	19833	107306
78	20092	107075
79	20369	106940
80	20634	106739
81	20880	106438
82	21215	106586
83	21529	106622
84	21820	106536
85	22076	106273
86	22324	105978
87	22535	105509
88	22782	105210
89	23042	104971
90	23355	104969
91	23647	104869
92	23946	104797
93	24212	104576
94	24520	104536
95	24809	104405
96	25099	104281
97	25382	104119
98	25675	103998
99	25962	103848
100	26231	103627
101	26546	103584
102	26854	103507
103	27046	102984
104	27334	102831
105	27633	102713
106	27947	102648
107	28214	102409
108	28472	102135
109	28781	102043
110	29065	101860
111	29374	101763
112	29664	101595
113	29976	101499
114	30266	101328
115	30564	101179
116	30842	100963
117	31124	100759
118	31429	100626
119	31726	100468
120	31984	100183
121	32253	99932
122	32538	99731
123	32829	99548
124	33137	99411
125	33433	99238
126	33718	99031
127	33975	98739
128	34261	98536
129	34535	98292
130	34844	98150
131	35126	97927
132	35395	97669
133	35649	97371
134	35905	97078
135	36161	96785
136	36401	96450
137	36611	96038
138	36855	95717
139	37100	95402
140	37370	95148
141	37618	94840
142	37874	94553
143	38133	94274
144	38400	94015
145	38668	93758
146	38922	93467
147	39201	93236
148	39456	92946
149	39706	92648
150	39996	92441
151	40250	92153
152	40517	91892
153	40806	91682
154	41083	91444
155	41335	91149
156	41594	90872
157	41851	90590
158	42180	90461
159	42473	90255
160	42764	90044
161	43052	89824
162	43342	89610
163	43614	89356
164	43896	89123
165	44171	88875
166	44446	88627
167	44686	88309
168	44957	88053
169	45227	87794
170	45535	87609
171	45866	87465
172	46149	87230
173	46450	87027
174	46746	86814
175	47020	86561
176	47318	86349
177	47596	86100
178	47891	85884
179	48236	85753
180	48556	85578
181	48859	85369
182	49170	85174
183	49482	84981
184	49779	84760
185	50127	84624
186	50453	84448
187	50762	84243
188	51073	84042
189	51405	83871
190	51675	83600
191	51962	83357
192	52260	83129
193	52555	82896
194	52801	82587
195	53109	82374
196	53398	82131
197	53640	81815
198	53950	81602
199	54251	81377
200	54529	81115
201	54833	80892
202	55118	80641
203	55392	80373
204	55649	80081
205	55921	79810
206	56186	79529
207	56504	79323
208	56834	79133
209	57149	78920
210	57469	78714
211	57716	78406
212	57963	78101
213	58253	77852
214	58496	77541
215	58850	77377
216	59081	77050
217	59354	76779
218	59613	76490
219	59883	76215
220	60151	75938
221	60406	75644
222	60740	75448
223	61035	75204
224	61304	74927
225	61612	74697
226	61880	74420
227	62152	74147
228	62418	73866
229	62721	73629
230	63017	73384
231	63277	73096
232	63542	72814
233	63820	72548
234	64110	72294
235	64405	72046
236	64700	71798
237	65019	71575
238	65293	71303
239	65610	71078
240	65884	70804
241	66158	70532
242	66452	70281
243	66741	70023
244	66992	69726
245	67340	69530
246	67596	69238
247	67838	68932
248	68065	68612
249	68375	68375
250	68642	68095
251	68900	67806
252	69213	67572
253	69482	67294
254	69796	67059
255	70043	66759
256	70288	66459
257	70588	66210
258	70832	65909
259	71141	65668
260	71466	65442
261	71733	65162
262	71985	64869
263	72252	64589
264	72507	64299
265	72771	64016
266	73042	63740
267	73333	63482
